reference_answer,req_id,suite_key,csv_row_index,test_id,execution_status,mutation_status,mutation_report_path,report_status,mutants_seen_in_test
https://anonymous.4open.science/r/E2EDev/E2EDev_data/E2ESD_Bench_01/,1,reference_answer=https://anonymous.4open.science/r/E2EDev/E2EDev_data/E2ESD_Bench_01/ | req_id=1,0,1,PASSED,PASSED,artifacts\dynamic\results\E2ESD_Bench_01_req1_test1_row0\mutation_report.json,OK,3
https://anonymous.4open.science/r/E2EDev/E2EDev_data/E2ESD_Bench_01/,1,reference_answer=https://anonymous.4open.science/r/E2EDev/E2EDev_data/E2ESD_Bench_01/ | req_id=1,1,2,PASSED,PASSED,artifacts\dynamic\results\E2ESD_Bench_01_req1_test2_row1\mutation_report.json,OK,3
https://anonymous.4open.science/r/E2EDev/E2EDev_data/E2ESD_Bench_01/,1,reference_answer=https://anonymous.4open.science/r/E2EDev/E2EDev_data/E2ESD_Bench_01/ | req_id=1,2,3,PASSED,PASSED,artifacts\dynamic\results\E2ESD_Bench_01_req1_test3_row2\mutation_report.json,OK,3
https://anonymous.4open.science/r/E2EDev/E2EDev_data/E2ESD_Bench_01/,1,reference_answer=https://anonymous.4open.science/r/E2EDev/E2EDev_data/E2ESD_Bench_01/ | req_id=1,3,4,PASSED,PASSED,artifacts\dynamic\results\E2ESD_Bench_01_req1_test4_row3\mutation_report.json,OK,3
https://anonymous.4open.science/r/E2EDev/E2EDev_data/E2ESD_Bench_01/,3,reference_answer=https://anonymous.4open.science/r/E2EDev/E2EDev_data/E2ESD_Bench_01/ | req_id=3,4,1,PASSED,PASSED,artifacts\dynamic\results\E2ESD_Bench_01_req3_test1_row4\mutation_report.json,OK,3
https://anonymous.4open.science/r/E2EDev/E2EDev_data/E2ESD_Bench_01/,3,reference_answer=https://anonymous.4open.science/r/E2EDev/E2EDev_data/E2ESD_Bench_01/ | req_id=3,5,2,PASSED,PASSED,artifacts\dynamic\results\E2ESD_Bench_01_req3_test2_row5\mutation_report.json,OK,3
https://anonymous.4open.science/r/E2EDev/E2EDev_data/E2ESD_Bench_01/,3,reference_answer=https://anonymous.4open.science/r/E2EDev/E2EDev_data/E2ESD_Bench_01/ | req_id=3,6,3,PASSED,PASSED,artifacts\dynamic\results\E2ESD_Bench_01_req3_test3_row6\mutation_report.json,OK,3
https://anonymous.4open.science/r/E2EDev/E2EDev_data/E2ESD_Bench_01/,3,reference_answer=https://anonymous.4open.science/r/E2EDev/E2EDev_data/E2ESD_Bench_01/ | req_id=3,7,4,PASSED,PASSED,artifacts\dynamic\results\E2ESD_Bench_01_req3_test4_row7\mutation_report.json,OK,3
https://anonymous.4open.science/r/E2EDev/E2EDev_data/E2ESD_Bench_01/,5,reference_answer=https://anonymous.4open.science/r/E2EDev/E2EDev_data/E2ESD_Bench_01/ | req_id=5,8,1,PASSED,PASSED,artifacts\dynamic\results\E2ESD_Bench_01_req5_test1_row8\mutation_report.json,OK,3
https://anonymous.4open.science/r/E2EDev/E2EDev_data/E2ESD_Bench_01/,5,reference_answer=https://anonymous.4open.science/r/E2EDev/E2EDev_data/E2ESD_Bench_01/ | req_id=5,9,2,PASSED,PASSED,artifacts\dynamic\results\E2ESD_Bench_01_req5_test2_row9\mutation_report.json,OK,3
https://anonymous.4open.science/r/E2EDev/E2EDev_data/E2ESD_Bench_01/,5,reference_answer=https://anonymous.4open.science/r/E2EDev/E2EDev_data/E2ESD_Bench_01/ | req_id=5,10,3,PASSED,PASSED,artifacts\dynamic\results\E2ESD_Bench_01_req5_test3_row10\mutation_report.json,OK,3
https://anonymous.4open.science/r/E2EDev/E2EDev_data/E2ESD_Bench_01/,5,reference_answer=https://anonymous.4open.science/r/E2EDev/E2EDev_data/E2ESD_Bench_01/ | req_id=5,11,4,PASSED,PASSED,artifacts\dynamic\results\E2ESD_Bench_01_req5_test4_row11\mutation_report.json,OK,3
